Date,Region,Product Category,Units Sold,Revenue,Cost,Customer Complaints
01-01-2024,North,Electronics,120,24000,18000,2
1/1/2024,South,Electronics,80,16000,12000,1
01-01-2024,East,Apparel,200,15000,9000,3
2024-02-01,North,Electronics,130,26000,19000,0
01-02-2024,South,Apparel,100,7500,5000,2
2024-02-01,East,Apparel,210,15750,9500,4
01-03-2024,North,Electronics,140,28000,20000,1
2024-03-01,South,Electronics,90,18000,13000,3
01-03-2024,East,Apparel,220,16500,10000,1
2024-04-01,North,Electronics,130,26000,19000,0
01-04-2024,South,Apparel,100,7500,5000,2
2024-04-01,East,Apparel,210,15750,9500,4
01-05-2024,North,Electronics,140,28000,20000,1
2024-05-01,South,Electronics,90,18000,13000,3
01-05-2024,East,Apparel,220,16500,10000,1
1/1/2024,North,Electronics,120,24000,18000,2
1/1/2024,South,Electronics,80,16000,12000,1
2024-01-01,East,Apparel,200,15000,9000,3
2024-02-01,North,Electronics,130,26000,19000,0
2024-02-01,South,Apparel,100,7500,5000,2
2024-02-01,East,Apparel,210,15750,9500,4
2024-03-01,North,Electronics,140,28000,20000,1
2024-03-01,South,Electronics,90,18000,13000,3
2024-03-01,East,Apparel,220,16500,10000,1
2024-04-01,North,Electronics,130,26000,19000,0
2024-04-01,South,Apparel,100,7500,5000,2
2024-04-01,East,Apparel,210,15750,9500,4
2024-05-01,North,Electronics,140,28000,20000,1
2024-05-01,South,Electronics,90,18000,13000,3
2024-05-01,East,Apparel,220,16500,10000,1
